Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
294,Stanford,37,24,13,0.649,7.33,9,9,2676,2491,908,2089,0.435,246,651,0.378,614,846,0.726,428,1363,435,204,102,399,708
295,Stephen F. Austin NCAA,34,29,5,0.853,-4.2,17,1,2672,2188,911,1870,0.487,262,692,0.379,588,799,0.736,413,1176,596,259,120,476,734
296,Stetson,31,9,22,0.29,-6.68,3,11,2064,2290,744,1717,0.433,193,586,0.329,383,583,0.657,297,1041,388,139,103,384,543
297,Stony Brook,35,23,12,0.657,-4.03,12,4,2290,2102,835,1999,0.418,191,576,0.332,429,647,0.663,488,1395,420,180,147,416,578
298,Syracuse,31,18,13,0.581,7.68,9,9,2096,1965,763,1775,0.43,155,515,0.301,415,629,0.66,373,1135,468,258,157,370,471
299,Temple,37,26,11,0.703,3.52,13,5,2436,2263,833,2149,0.388,235,772,0.304,535,765,0.699,453,1410,457,254,165,352,632
300,Tennessee-Martin,34,21,13,0.618,-3.9,10,6,2390,2224,855,1838,0.465,268,681,0.394,412,582,0.708,332,1175,441,178,63,394,507
301,Tennessee State,31,5,26,0.161,-2.38,2,14,1793,2111,611,1548,0.395,170,486,0.35,401,648,0.619,297,1022,294,167,108,446,628
302,Tennessee Tech,30,12,18,0.4,-3.99,4,12,2118,2095,768,1741,0.441,169,526,0.321,413,609,0.678,396,1110,395,186,103,412,567
303,Tennessee,32,16,16,0.5,8.16,7,11,2025,2055,725,1706,0.425,194,586,0.331,381,551,0.691,396,1040,350,247,108,387,625
304,Texas A&M-Corpus Christi,34,20,14,0.588,-6.43,13,5,2266,2192,748,1678,0.446,165,499,0.331,605,881,0.687,333,1101,354,230,91,430,693
305,Texas A&M,33,21,12,0.636,5.91,11,7,2236,2077,805,1778,0.453,181,521,0.347,445,676,0.658,374,1197,485,186,97,410,595
306,Texas-Arlington,31,16,15,0.516,-2.76,10,10,2220,2206,779,1773,0.439,205,648,0.316,457,679,0.673,352,1144,399,206,107,453,654
307,Texas Christian,33,18,15,0.545,5.32,4,14,2249,2058,791,1809,0.437,150,459,0.327,517,841,0.615,445,1214,435,207,176,395,681
308,Texas-El Paso,33,22,11,0.667,-0.51,13,5,2282,2104,800,1717,0.466,185,506,0.366,497,752,0.661,312,1140,452,178,133,406,566
309,Texas-Rio Grande Valley,31,10,21,0.323,-4.68,4,10,1927,2179,678,1610,0.421,130,433,0.3,441,652,0.676,322,1000,411,171,102,417,544
